No.,Compound,RT_adj,from_adj,to_adj
1,"1,4-Pentadiene",1.46000010172529,0.9600001017252899,1.96000010172529
2,80,1.57199999491377,1.07199999491377,2.07199999491377
3,2-Propenenitrile,1.6035001118978203,1.1035001118978203,2.1035001118978203
4,41,1.62626953125003,1.12626953125003,2.12626953125003
5,"1,3-Cyclopentadiene",1.6280000050863,1.1280000050863,2.1280000050863
6,71,1.64965476989749,1.14965476989749,2.1496547698974897
7,1,1.65160357157393,1.15160357157393,2.15160357157393
8,1-Propanol,1.6980000813802405,1.1980000813802405,2.1980000813802407
9,Cyclopentene,1.6980000813802405,1.1980000813802405,2.1980000813802407
10,"Pentane, 2-methyl-",1.7260000864665097,1.2260000864665097,2.2260000864665095
11,Ethyl alcohol,1.7365000406901403,1.2365000406901403,2.2365000406901405
12,45,1.7424165089925503,1.2424165089925503,2.2424165089925503
13,2-Propenal,1.7645000457764002,1.2645000457764002,2.2645000457764004
14,2-Propen-1-ol,1.7645000457764002,1.2645000457764002,2.2645000457764004
15,"Propanal, 2-methyl-",1.7960000356038803,1.2960000356038803,2.29600003560388
16,"Pentane, 3-methyl-",1.8170000712077197,1.3170000712077197,2.31700007120772
17,"1-Pentene, 2-methyl-",1.8240000406901395,1.3240000406901395,2.3240000406901395
18,Butanal,1.8730000813802503,1.3730000813802503,2.3730000813802503
19,Methacrolein,1.8765000661214595,1.3765000661214595,2.3765000661214595
20,Hexane<N->,1.88000005086267,1.38000005086267,2.38000005086267
21,"2,3-Butanedione",1.8939999898275104,1.3939999898275104,2.3939999898275106
22,2-Butanone,1.91500002543135,1.41500002543135,2.41500002543135
23,"Furan, 3-methyl-",1.9255001068115605,1.4255001068115605,2.4255001068115605
24,"Propane, 2-methoxy-2-methyl-",1.9500000000000401,1.4500000000000401,2.45000000000004
25,"Furan, 2-methyl-",1.9500000000000401,1.4500000000000401,2.45000000000004
26,Ethyl acetate,1.9535001118978297,1.4535001118978297,2.4535001118978297
27,"Cyclopentane, methyl-",1.9640000661214603,1.4640000661214603,2.4640000661214603
28,"Propane, 2-ethoxy-2-methyl-",1.9675000508626699,1.4675000508626699,2.46750005086267
29,"1,3-Pentadiene, 2-methyl-, (E)-",1.9745000203450895,1.4745000203450895,2.4745000203450895
30,Dimethyl sulfide,1.9780000050863,1.4780000050863,2.4780000050863
31,Trimethylamine,1.9814999898275103,1.4814999898275103,2.48149998982751
32,4,1.9910802205404,1.4910802205404,2.4910802205404
33,"1-Propanol, 2-methyl-",1.99550005594893,1.49550005594893,2.4955000559489298
34,Amylene Hydrate,2.02000007629399,1.5200000762939898,2.52000007629399
35,15,2.02342987060551,1.52342987060551,2.52342987060551
36,25,2.03278401692712,1.53278401692712,2.53278401692712
37,Methyl vinyl ketone,2.03750000000004,1.53750000000004,2.53750000000004
38,"2,3-Dihydrofuran",2.05850003560388,1.5585000356038798,2.55850003560388
39,2-Butanol,2.0620000203450894,1.5620000203450894,2.5620000203450894
40,"Butanal, 3-methyl-",2.0655000050863,1.5655000050863,2.5655000050863
41,"Cyclopentene, 3-methyl-",2.0760000864665096,1.5760000864665096,2.5760000864665096
42,Isobutyronitrile,2.09350001017257,1.59350001017257,2.59350001017257
43,"2,4-Hexadiene, (Z,Z)-",2.09350001017257,1.59350001017257,2.59350001017257
44,Benzene,2.09699999491378,1.59699999491378,2.59699999491378
45,5,2.0994321187337706,1.5994321187337706,2.5994321187337706
46,1-Butanol,2.1005001068115705,1.6005001068115705,2.6005001068115705
47,"Butanal, 2-methyl-",2.1005001068115705,1.6005001068115705,2.6005001068115705
48,"Propane, 2-methyl-2-(1-methylethoxy)-",2.10750007629399,1.6075000762939902,2.60750007629399
49,"Butane, 2-methoxy-2-methyl-",2.11800003051762,1.6180000305176199,2.61800003051762
50,"Formic acid, 2-methylpropyl ester",2.12500000000004,1.62500000000004,2.62500000000004
51,6,2.1450335184733498,1.6450335184733498,2.6450335184733498
52,Acetic acid,2.14600016276046,1.6460001627604601,2.64600016276046
53,Triethylamine,2.1495000203451,1.6495000203451,2.6495000203451
54,"Hexane, 3-methyl-",2.17400004069015,1.6740000406901498,2.67400004069015
55,1-Penten-3-ol,2.17400004069015,1.6740000406901498,2.67400004069015
56,7,2.1886858622233505,1.6886858622233505,2.6886858622233505
57,2-Pentanone,2.19150009155278,1.69150009155278,2.69150009155278
58,Ethyl vinyl ketone,2.20550003051762,1.7055000305176198,2.70550003051762
59,"Pentandione<2,3->",2.22649993896489,1.7264999389648898,2.72649993896489
60,Pentanal,2.23000005086267,1.73000005086267,2.73000005086267
61,Heptane,2.23000005086267,1.73000005086267,2.73000005086267
62,Ethyl furan<2->,2.294974058069638,1.7949740580696378,2.794974058069638
63,"2-Butanone, 3-hydroxy-",2.3816062241917,1.8816062241917,2.8816062241917
64,"2-Propanone, 1-hydroxy-",2.4249223072527357,1.9249223072527357,2.9249223072527357
65,"1-Pentene, 2,4,4-trimethyl-",2.4249223072527357,1.9249223072527357,2.9249223072527357
66,Ethoxy ethanol<2->,2.4682383903137604,1.9682383903137604,2.9682383903137604
67,"2-Propenoic acid, 2-methyl-, methyl ester",2.4898963144597017,1.9898963144597017,2.9898963144597017
68,"Cyclohexane, methyl-",2.5115542386056338,2.0115542386056338,3.0115542386056338
69,11,2.552834873087278,2.052834873087278,3.052834873087278
70,155,2.633197528908019,2.133197528908019,3.133197528908019
71,"1,3-Diazine",2.663160411934662,2.163160411934662,3.163160411934662
72,Buten-1-ol<3-methyl-3->,2.6848185708497563,2.1848185708497563,3.1848185708497563
73,"Butanenitrile, 2-methyl-",2.7064764949956883,2.2064764949956883,3.2064764949956883
74,"Butanenitrile, 3-methyl-",2.814766585263692,2.314766585263692,3.314766585263692
75,Propanoic acid,2.8797405924706596,2.3797405924706596,3.3797405924706596
76,"1-Butanol, 3-methyl-",2.9447148344467804,2.4447148344467804,3.4447148344467804
77,"3-Penten-2-one, (E)-",2.988030682738652,2.488030682738652,3.488030682738652
78,Methyl Isobutyl Ketone,3.009688841653748,2.509688841653748,3.509688841653748
79,2-Propenoic acid,3.074662848860714,2.574662848860714,3.574662848860714
80,"Disulfide, dimethyl",3.1179789319217406,2.6179789319217406,3.6179789319217406
81,"4-Penten-2-one, 4-methyl-",3.247926946335676,2.747926946335676,3.747926946335676
82,"Pentane, 2,3,3-trimethyl-",3.269585105250771,2.769585105250771,3.769585105250771
83,"Pentane, 2,2,3-trimethyl-",3.2912430293967025,2.7912430293967025,3.7912430293967025
84,"2-Penten-1-ol, (E)-",3.3129011883117956,2.8129011883117956,3.8129011883117956
85,46,3.3439886155939487,2.8439886155939487,3.8439886155939487
86,99,3.3439886155939487,2.8439886155939487,3.8439886155939487
87,Pyridine,3.346088156152816,2.846088156152816,3.846088156152816
88,Penten-1-al<2E->,3.3562170366036668,2.8562170366036668,3.8562170366036668
89,10 (DCSE),3.380797367198996,2.880797367198996,3.880797367198996
90,"Hexane, 2,3-dimethyl-",3.3995331196647043,2.8995331196647043,3.8995331196647043
91,Pyrrole,3.5078232099326985,3.0078232099326985,4.007823209932699
92,"Furan, tetrahydro-2,2,5,5-tetramethyl-",3.5078232099326985,3.0078232099326985,4.007823209932699
93,"2-Butenal, 2-methyl-",3.551139292993736,3.051139292993736,4.051139292993736
94,"Pentane, 2,3,4-trimethyl-",3.551139292993736,3.051139292993736,4.051139292993736
95,"1-Heptene, 4-methyl-",3.551139292993736,3.051139292993736,4.051139292993736
96,22 (DCSE),3.6079243172828788,3.1079243172828788,4.107924317282879
97,"Heptane, 4-methyl-",3.6161133002007,3.1161133002007,4.1161133002007
98,Toluene,3.6161133002007,3.1161133002007,4.1161133002007
99,1-Pentanol,3.637771459115789,3.137771459115789,4.137771459115789
100,"Propyl aldoxime, 2-methyl-, anti-",3.681087307407666,3.181087307407666,4.181087307407666
101,63,3.70423366800035,3.20423366800035,4.2042336680003505
102,"Heptane, 3-methyl-",3.746061549383789,3.246061549383789,4.246061549383789
103,Pentenol<2Z->,3.7677194735297226,3.2677194735297226,4.267719473529723
104,"Hexane, 3,4-dimethyl-",3.7893776324448174,3.2893776324448174,4.289377632444817
105,"2-Buten-1-ol, 2-methyl-",3.811035556590757,3.311035556590757,4.311035556590757
106,12,3.816463889007418,3.316463889007418,4.316463889007418
107,"Cyclobutene, 1,2,3,4-tetramethyl-",3.8801994889183984,3.3801994889183984,4.380199488918398
108,"Pentanal, 2-methyl-",3.89766772271281,3.39766772271281,4.39766772271281
109,"Hexane, 2,2,4-trimethyl-",3.919325646858747,3.419325646858747,4.419325646858747
110,12 (DCSE),4.025099011778309,3.525099011778309,4.525099011778309
111,"2,4-Pentanedione",4.027615737126744,3.5276157371267436,4.527615737126744
112,"2-Butenal, 3-methyl-",4.049273661272684,3.549273661272684,4.549273661272684
113,3-Hexanone,4.092589744333711,3.5925897443337114,4.592589744333711
114,"1-Heptene, 2-methyl-",4.1359060621639,3.6359060621639,4.6359060621639
115,"Heptane, 3-methylene-",4.1359060621639,3.6359060621639,4.6359060621639
116,Butanoic acid,4.179221910455775,3.679221910455775,4.679221910455775
117,2-Hexanone,4.179221910455775,3.679221910455775,4.679221910455775
118,Cyclopentanone,4.200879834601713,3.7008798346017127,4.700879834601713
119,"Propanoic acid, 2-methyl-",4.265854076577833,3.765854076577833,4.765854076577833
120,"3-Pentanone, 2,4-dimethyl-",4.265854076577833,3.765854076577833,4.765854076577833
121,36,4.331647740064158,3.931647740064158,4.731647740064158
122,Methyl pyruvate,4.40261207638174,3.9026120763817396,4.90261207638174
123,72,4.415520017899403,3.9155200178994027,4.915520017899403
124,"3-Penten-2-one, 4-methyl-",4.424374676970935,3.9243746769709347,4.924374676970935
125,Hexanal,4.424374676970935,3.9243746769709347,4.924374676970935
126,8,4.463377123230517,3.963377123230517,4.963377123230517
127,"2-Hexene, 3,5-dimethyl-",4.52718659700534,4.02718659700534,5.02718659700534
128,"2-Octene, (Z)-",4.576713901687602,4.076713901687602,5.076713901687602
129,13,4.655744489500325,4.155744489500325,5.155744489500325
130,140,4.685772867385539,4.185772867385539,5.185772867385539
131,"3-Octene, (E)-",4.7072900155189155,4.2072900155189155,5.2072900155189155
132,3-Furaldehyde,4.7072900155189155,4.2072900155189155,5.2072900155189155
133,Butyl acetate,4.729052616108111,4.229052616108111,5.229052616108111
134,"1H-Pyrrole, 1-ethyl-",4.7508157269934665,4.2508157269934665,5.2508157269934665
135,"Hexane, 2,3,5-trimethyl-",4.794340928171852,4.294340928171852,5.294340928171852
136,"Heptane, 2,4-dimethyl-",4.837866129350229,4.337866129350229,5.337866129350229
137,66,5.055493666130642,4.555493666130642,5.555493666130642
138,2-Cyclopenten-1-one,5.099018867309027,4.599018867309027,5.599018867309027
139,Furfural,5.099018867309027,4.599018867309027,5.599018867309027
140,22,5.101474412459567,4.701474412459566,5.501474412459567
141,Dimethyl Sulfoxide,5.120781467898222,4.620781467898222,5.620781467898222
142,18,5.1802983303250825,4.6802983303250825,5.6802983303250825
143,"2,4-Dimethyl-1-heptene",5.229594981140342,4.729594981140342,5.729594981140342
144,Isovaleric acid,5.251358092025698,4.751358092025698,5.751358092025698
145,"Benzene, chloro-",5.294883293204084,4.794883293204084,5.794883293204084
146,"1-Hexen-3-yne, 2,5,5-trimethyl-",5.353898024203654,4.853898024203654,5.853898024203654
147,"Cyclohexane, 1,2,4-trimethyl-",5.356713328151197,4.856713328151197,5.856713328151197
148,"1H-Pyrrole, 2-methyl-",5.360171605267825,4.860171605267825,5.860171605267825
149,"2-Hexenal, (E)-",5.534272920277517,5.034272920277517,6.034272920277517
150,2-Furanmethanol,5.556036031162882,5.056036031162882,6.056036031162882
151,"3-Hexen-1-ol, (Z)-",5.621323832930454,5.121323832930454,6.121323832930454
152,73,5.651363947627487,5.151363947627487,6.151363947627487
153,Ethylbenzene,5.686612144994196,5.186612144994196,6.186612144994196
154,10,5.710482268748752,5.210482268748752,6.210482268748752
155,"Butyl aldoxime, 3-methyl-, syn-",5.730137346172573,5.330137346172573,6.130137346172574
156,"Butyl aldoxime, 2-methyl-, syn-",5.773663057647121,5.273663057647121,6.273663057647121
157,Butanoic acid<2-methyl->,5.795425658236315,5.295425658236315,6.295425658236315
158,Hexenol<2E->,5.81718825882551,5.31718825882551,6.31718825882551
159,"Octane, 4-methyl-",5.838951369710866,5.338951369710866,6.338951369710866
160,p-Xylene,5.860713970300061,5.360713970300061,6.360713970300061
161,Hexenol<2Z->,5.882476570889252,5.382476570889252,6.382476570889252
162,146,5.887835701224041,5.487835701224041,6.287835701224042
163,"2(3H)-Furanone, 5-methyl-",5.904239171478435,5.404239171478435,6.404239171478435
164,1-Hexanol,5.92600177206763,5.42600177206763,6.42600177206763
165,74,5.936631241204331,5.436631241204331,6.436631241204331
166,Isopentyl acetate,6.056578396195113,5.556578396195113,6.556578396195113
167,"Butyl aldoxime, 2-methyl-, anti-",6.056578396195113,5.556578396195113,6.556578396195113
168,"2-Cyclopentene-1,4-dione",6.143629308848042,5.643629308848042,6.643629308848042
169,"Butyl aldoxime, 3-methyl-, anti",6.165391909437233,5.665391909437233,6.665391909437233
170,3-Heptanone,6.274205422679364,5.774205422679364,6.774205422679364
171,Styrene,6.383018935921484,5.883018935921484,6.883018935921484
172,Heptanone<2->,6.383018935921484,5.883018935921484,6.883018935921484
173,Heptanol<4->,6.404781536510678,5.904781536510678,6.904781536510678
174,Cyclohexanone,6.426544137099869,6.026544137099869,6.826544137099869
175,o-Xylene,6.426544137099869,6.026544137099869,6.826544137099869
176,"Cyclopentanone, 2-methyl-",6.448307247985225,5.948307247985225,6.948307247985225
177,Pentanoic acid,6.513595049752798,6.013595049752798,7.013595049752798
178,28,6.570036867483661,6.070036867483661,7.070036867483661
179,Heptenal<4Z->,6.606376168568049,6.106376168568049,7.106376168568049
180,"2-Propenoic acid, butyl ester",6.633869487385258,6.133869487385258,7.133869487385258
181,Heptanal,6.633869487385258,6.133869487385258,7.133869487385258
182,"Pentane, 1-nitro-",6.661362294136768,6.161362294136768,7.161362294136768
183,1 (DCSE),6.677541521592929,6.177541521592929,7.177541521592929
184,62,6.822907753037029,6.322907753037029,7.322907753037029
185,Butyl propanoate,6.853813477594448,6.353813477594448,7.353813477594448
186,15 (DCSE),6.887039371781057,6.387039371781057,7.387039371781057
187,141,6.907073429731256,6.407073429731256,7.407073429731256
188,Butyrolactone,6.908799091097482,6.408799091097482,7.408799091097482
189,2-Acetylfuran,6.936292409914691,6.436292409914691,7.436292409914691
190,2(5H)-Furanone,6.936292409914691,6.436292409914691,7.436292409914691
191,Amyl acetate,6.963785216666201,6.463785216666201,7.463785216666201
192,2-Cyclohexen-1-ol,6.99127853548341,6.49127853548341,7.49127853548341
193,"Hexanoic acid, methyl ester",7.21122252569261,6.71122252569261,7.71122252569261
194,Cumene,7.238715332444119,6.738715332444119,7.738715332444119
195,156,7.358597590828011,6.858597590828011,7.858597590828011
196,"Cyclohexane, propyl-",7.40367319708459,6.90367319708459,7.90367319708459
197,"1,2-Cyclopentanedione",7.431166003836115,6.931166003836115,7.931166003836115
198,30,7.457616244848268,6.957616244848268,7.957616244848268
199,"2-Cyclopenten-1-one, 2-hydroxy-",7.458659322653309,6.958659322653309,7.958659322653309
200,"2,5-Hexanedione",7.486152129404833,6.986152129404833,7.986152129404833
201,Pinene<alpha->,7.486152129404833,6.986152129404833,7.986152129404833
202,"2-Heptanone, 4-methyl-",7.62361718729379,7.12361718729379,8.123617187293789
203,"Formamide, N,N-diethyl-",7.678603312862508,7.178603312862508,8.178603312862508
204,Camphene,7.898547303071698,7.398547303071698,8.398547303071698
205,gamma-Valerolactone,7.953532916574732,7.453532916574732,8.453532916574732
206,"2-Heptanone, 6-methyl-",8.090997974463688,7.590997974463688,8.590997974463688
207,"Benzene, 1-ethyl-4-methyl-",8.200970225601127,7.700970225601127,8.700970225601127
208,2 (DCSE),8.222152846887958,7.722152846887958,8.722152846887958
209,Benzaldehyde,8.22846303235265,7.72846303235265,8.72846303235265
210,"Benzene, 1-ethyl-3-methyl-",8.28344915792137,7.783449157921369,8.78344915792137
211,5-methylfurfural,8.310941964672878,7.810941964672878,8.810941964672878
212,Heptan-2-ol<6-methyl-,8.338435283490089,7.838435283490089,8.838435283490089
213,3 (DCSE),8.372690941773866,7.872690941773866,8.872690941773866
214,82,8.398292177876472,7.898292177876472,8.898292177876472
215,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",8.420914215810326,7.920914215810326,8.920914215810326
216,"Benzene, 1,3,5-trimethyl-",8.44840702256184,7.94840702256184,8.94840702256184
217,Dimethyl trisulfide,8.475899829313365,7.975899829313365,8.975899829313365
218,Glycerin,8.496319984791796,7.996319984791796,8.996319984791796
219,Heptanol<N->,8.530886466947763,8.030886466947763,9.030886466947763
220,beta-Pinene,8.668351524836725,8.318351524836725,9.018351524836724
221,"1-Hexene, 3,5-dimethyl-",8.71515125626246,8.21515125626246,9.21515125626246
222,Octen-3-one<1->,8.723337138339758,8.223337138339758,9.223337138339758
223,Octen-3-ol<1->,8.750829945091269,8.250829945091269,9.250829945091269
224,Octanone<3->,8.750829945091269,8.250829945091269,9.250829945091269
225,"Benzene, 1-ethyl-2-methyl-",8.778322751842794,8.278322751842794,9.278322751842794
226,Phenol,8.805815558594302,8.305815558594302,9.305815558594302
227,3-Methyl-2(5H)-furanone,8.833309389477197,8.333309389477197,9.333309389477197
228,"2-Propenoic acid, 2-methyl-, butyl ester",8.833309389477197,8.333309389477197,9.333309389477197
229,"2,3-Octanedione",8.888295002980229,8.388295002980229,9.388295002980229
230,Pentyl furan<2->,8.888295002980229,8.388295002980229,9.388295002980229
231,Hepten-2-one<6-methyl-5->,8.970774447366153,8.470774447366153,9.470774447366153
232,101,8.97259842534434,8.47259842534434,9.47259842534434
233,57,8.982500751605487,8.482500751605487,9.482500751605487
234,"Cineole<dehydro-1,8->",9.053252867620701,8.553252867620701,9.553252867620701
235,"2-Heptanone, 4,6-dimethyl-",9.053252867620701,8.553252867620701,9.553252867620701
236,2-Octanone,9.053252867620701,8.553252867620701,9.553252867620701
237,37,9.092410530729069,8.592410530729069,9.592410530729069
238,"Heptanol<2,6-dimethyl-2->",9.108239505255105,8.608239505255105,9.608239505255105
239,Myrcene,9.108239505255105,8.708239505255104,9.508239505255105
240,Linalool oxide<dehydroxy-trans->,9.108239505255105,8.608239505255105,9.608239505255105
241,Butyl butanoate,9.108239505255105,8.608239505255105,9.608239505255105
242,"1,2,4-Trimethylbenzene",9.135732312006624,8.635732312006624,9.635732312006624
243,24,9.201330998944787,8.701330998944787,9.701330998944787
244,2-Hydroxy-gamma-butyrolactone,9.218210732261172,8.718210732261172,9.718210732261172
245,Hexanoic acid,9.245703539012691,8.745703539012691,9.745703539012691
246,43,9.332054363437665,8.832054363437665,9.832054363437665
247,152,9.3380246107371,8.8380246107371,9.8380246107371
248,83,9.345983580659325,8.845983580659325,9.845983580659325
249,112,9.370855871595179,8.870855871595179,9.870855871595179
250,Octanal,9.415097301019365,8.915097301019365,9.915097301019365
251,32,9.429556844273778,8.929556844273778,9.929556844273778
252,Phellandrene<alpha->,9.473039499528031,8.973039499528031,9.973039499528031
253,Linalool oxide<dehydroxy-cis->,9.50201059878236,9.00201059878236,10.00201059878236
254,Hexenyl acetate<3Z->,9.559953817148777,9.059953817148777,10.059953817148777
255,Carene<delta-3->,9.617896015657447,9.117896015657447,10.117896015657447
256,trans-2-trans-4-Heptadienal,9.617896015657447,9.217896015657447,10.017896015657447
257,121,9.70912943087182,9.20912943087182,10.20912943087182
258,Hexyl acetate,9.762752531786859,9.362752531786859,10.16275253178686
259,Benzyl chloride,9.762752531786859,9.262752531786859,10.262752531786859
260,Terpinene<alpha->,9.79172465089894,9.591724650898941,9.99172465089894
261,38,9.827524717682653,9.327524717682653,10.327524717682653
262,Hexenyl acetate<2E->,9.878637948661893,9.478637948661893,10.278637948661894
263,4-Cyanocyclohexene,9.878637948661893,9.378637948661893,10.378637948661893
264,75,9.879261081750425,9.379261081750425,10.379261081750425
265,4 (DCSE),9.924732459627506,9.424732459627506,10.424732459627506
266,52,9.932987188298748,9.432987188298748,10.432987188298748
267,39,9.959850241572857,9.459850241572857,10.459850241572857
268,"1,2,3-Trimethylbenzene",9.96555226628265,9.46555226628265,10.46555226628265
269,102,9.994672264769278,9.494672264769278,10.494672264769278
270,Cymene<para->,10.052466583903403,9.552466583903403,10.552466583903403
271,Limonene,10.16835200077853,9.66835200077853,10.66835200077853
272,"1-Hexanol, 2-ethyl-",10.197323100032802,9.697323100032802,10.697323100032802
273,Eucalyptol,10.226294199287164,9.726294199287164,10.726294199287164
274,"Cyclohexanone, 2,2,6-trimethyl-",10.31320851690792,9.81320851690792,10.81320851690792
275,Indane,10.34217961616229,9.84217961616229,10.84217961616229
276,"2(5H)-Furanone, 5-ethyl-",10.37115071541656,9.87115071541656,10.87115071541656
277,Ocimene<(Z)-beta->,10.429093933783047,9.929093933783047,10.929093933783047
278,Salicylaldehyde,10.458065033037316,9.958065033037316,10.958065033037316
279,Benzyl Alcohol,10.487036132291687,9.987036132291687,10.987036132291687
280,"Benzaldehyde, 2-methyl-",10.487036132291687,9.987036132291687,10.987036132291687
281,173,10.53988924060145,10.03988924060145,11.03988924060145
282,"2-Pyrrolidinone, 1-methyl-",10.544979350658073,10.044979350658073,11.044979350658073
283,"Cyclohexanone, 3,3,5-trimethyl-",10.544979350658073,10.044979350658073,11.044979350658073
284,Lavender Lactone,10.544979350658073,10.044979350658073,11.044979350658073
285,"Benzenemethanamine, N,N-dimethyl-",10.57395044991244,10.07395044991244,11.07395044991244
286,Indene,10.57395044991244,10.07395044991244,11.07395044991244
287,147,10.577696387447594,10.077696387447594,11.077696387447594
288,Benzeneacetaldehyde,10.631892648421072,10.131892648421072,11.131892648421072
289,58,10.697087055427605,10.197087055427605,11.197087055427605
290,84,10.720964985051994,10.220964985051994,11.220964985051994
291,Ocimene<(E)-beta->,10.7477780652962,10.2477780652962,11.2477780652962
292,"1H-Pyrrole-2-carboxaldehyde, 1-ethyl-",10.7477780652962,10.2477780652962,11.2477780652962
293,Bergamal,10.892634581425597,10.392634581425597,11.392634581425597
294,Hexalactone<gamma->,10.92160670053761,10.42160670053761,11.42160670053761
295,89,10.982628869467321,10.482628869467321,11.482628869467321
296,65,11.02441652113227,10.52441652113227,11.52441652113227
297,Terpinene<gamma->,11.037492117412734,10.537492117412734,11.537492117412734
298,"Decane, 4-methyl-",11.066463216667104,10.566463216667104,11.566463216667104
299,Acetylpyrrole<2->,11.066463216667104,10.566463216667104,11.566463216667104
300,9,11.091075443875301,10.591075443875301,11.591075443875301
301,40,11.153754881657276,10.653754881657276,11.653754881657276
302,17,11.164698975229205,10.664698975229205,11.664698975229205
303,"Decane, 2-methyl-",11.18234863354213,10.68234863354213,11.68234863354213
304,Acetophenone,11.240290832050867,10.740290832050867,11.740290832050867
305,103,11.286079385689748,10.786079385689748,11.786079385689748
306,"2-Octen-1-ol, (E)-",11.327205149671531,10.827205149671531,11.827205149671531
307,Pentanedinitrile,11.328861398666142,10.828861398666142,11.828861398666142
308,59,11.341795234718694,10.841795234718694,11.841795234718694
309,"Decane, 3-methyl-",11.356176248925891,11.05617624892589,11.656176248925892
310,"3,5-Octadien-2-one, (E,E)-",11.356176248925891,10.856176248925891,11.856176248925891
311,Cresol<para->,11.385147348180261,10.885147348180261,11.885147348180261
312,1-Octanol,11.414119467292283,10.914119467292283,11.914119467292283
313,60,11.432334126801731,10.932334126801731,11.932334126801731
314,53,11.436312591905029,10.936312591905029,11.936312591905029
315,cis-Linalool oxide (furanoid),11.443090566546648,11.043090566546647,11.843090566546648
316,"Benzene, 2-ethyl-1,4-dimethyl-",11.47206166580102,10.97206166580102,11.97206166580102
317,"Benzenamine, 3-methyl-",11.501032765055287,11.001032765055287,12.001032765055287
318,Heptanoic acid,11.530003864309652,11.030003864309652,12.030003864309652
319,123,11.534810453910264,11.034810453910264,12.034810453910264
