plant.num,leaf.num,damaged,undamaged,damage.percent
1,1,830,245251,0.33842879335864073
1,2,491,211578,0.23206571571713505
1,3,2067,172161,1.2006203495565198
1,4,525,186273,0.28184438968610587
1,5,1280,258620,0.4949346531590751
1,6,534,311117,0.1716396082502724
1,T,1249,174136,0.717255478476593
10,1,362,443177,0.08168293932221211
10,2,1120,170749,0.6559335633005171
10,3,275,243066,0.1131379954415673
10,4,980,145808,0.6721167562822342
10,5,101,151768,0.06654894312371515
10,6,300,245818,0.12204151038573254
10,7,199,213184,0.09334659261483039
10,T,62,300411,0.020638392069531407
11,1,15,429774,0.003490206480615393
11,10,91,310833,0.029276170805545104
11,11,100,59697,0.16751260532355058
11,12,76,102764,0.07395586002880386
11,13,403,212427,0.18971223055449637
11,14,129,468557,0.027531335568564762
11,15,137,564358,0.0242753713068655
11,2,500,191023,0.2617485852488967
11,3,23,274508,0.008378626488116922
11,4,33,124407,0.026525838578215052
11,5,9,205956,0.004369865408145429
11,6,104,132065,0.07874910082156514
11,7,4,310237,0.0012893368618185452
11,8,335,79356,0.4221482937648067
11,9,9,100164,0.008985264166766503
11,T,21,476273,0.004409235879422096
12,1,69,212421,0.03248266414337565
12,2,609,147655,0.41244793606718366
12,3,4919,305727,1.6089517772391708
12,4,322,253366,0.12708887538185865
12,5,263,328588,0.08003944148903795
12,6,12184,80294,15.174234687523352
12,7,579,184634,0.31359337933425047
12,T,7324,147089,4.979298247999511
13,1,233,379085,0.06146378780484588
13,10,123,445310,0.02762120769800813
13,11,71,178457,0.039785494544904376
13,12,211,122869,0.1717276123350886
13,13,1010,281141,0.35925034057643673
13,14,190,151673,0.1252694942408998
13,15,5,429194,0.0011649743472648732
13,16,308,157418,0.19565742164174366
13,2,62,201884,0.03071070515741713
13,3,8,62714,0.012756322352265842
13,4,974,315662,0.3085578878674025
13,5,739,223875,0.33009491903964266
13,6,1186,286012,0.41466791603149517
13,7,853,102184,0.8347686526266342
13,8,10035,157956,6.353035022411305
13,9,584,99098,0.5893156269551354
13,T,4416,132519,3.3323523419283276
14,1,104,476073,0.021845389257529834
14,10,65,103242,0.06295887332674686
14,11,121,267374,0.04525496121537621
14,12,880,112964,0.7790092418823696
14,13,213,334543,0.06366894539715373
14,14,5,301043,0.0016608922977780583
14,2,24,149261,0.016079216942134916
14,3,25,116943,0.02137793625954525
14,4,400,395628,0.10110507850809346
14,5,21,162713,0.012906159925758852
14,6,1234,93840,1.315004262574595
14,7,21,326294,0.006435913623909726
14,8,3632,199668,1.8190195724903337
14,9,385,330764,0.11639718953695082
14,T,106,223891,0.04734446672711275
15,1,1688,394779,0.4275810010157582
15,2,542,523111,0.1036108971136145
15,3,101,339648,0.029736668550970416
15,4,56,384592,0.014560885301826351
15,5,1292,360995,0.3578996939015776
15,T,1166,421773,0.27645202514148604
16,1,1150,330636,0.3478145150558318
16,10,156,340759,0.0457801554764511
16,11,18,174130,0.010337104462183427
16,12,64,398234,0.01607095325863688
16,13,1746,245666,0.7107210603013848
16,2,182,456443,0.03987354390361995
16,3,123,184499,0.06666702800557185
16,4,273,418694,0.06520274950202296
16,5,298,201744,0.14771195178047428
16,6,49,237054,0.020670395774802366
16,7,252,177600,0.14189189189189189
16,8,26,182173,0.01427214790336658
16,9,18,382144,0.004710266287054094
16,T,3569,276092,1.2926850470133144
17,1,310,326444,0.09496268885321832
17,2,77,35936,0.21426981300089049
17,3,5111,84158,6.073100596497065
17,4,766,227053,0.3373661656089107
17,5,66,128925,0.051192553810354854
17,6,276,147632,0.1869513384632058
17,7,38,213792,0.01777428528663374
17,8,148,138190,0.10709892177436862
17,9,69,142193,0.04852559549344904
17,T,2114,83858,2.5209282358272316
18,1,183,84603,0.21630438636927768
18,10,182,267142,0.06812856084030217
18,11,775,195776,0.39586057535142205
18,12,1377,250287,0.5501684066691439
18,13,366,189970,0.19266199926304153
18,14,148,153401,0.09647916245656807
18,2,86,35907,0.23950761689921185
18,3,4316,190727,2.262920299695376
18,4,58,204801,0.028320174217899324
18,5,2,260649,7.673154318643078e-4
18,6,73,171984,0.04244580891245697
18,7,230,135938,0.16919477997322308
18,8,13,246375,0.005276509386098427
18,9,1185,229499,0.5163421191377741
18,T,539,363506,0.14827815771954245
19,1,544,215957,0.25190199900906196
19,10,140,356018,0.039323854411855576
19,11,155,105230,0.14729639836548514
19,12,5,101281,0.004936760103079551
19,13,36,209247,0.017204547735451405
19,14,20,175941,0.011367447041906092
19,15,196,337134,0.05813712055147211
19,2,2658,205300,1.2946906965416463
19,3,107,43542,0.24573974553304856
19,4,29,286679,0.01011584385322957
19,5,199,395826,0.05027461561393137
19,6,27,315057,0.008569877831630466
19,7,409,451513,0.090584324260874
19,8,591,61850,0.9555375909458368
19,9,37,250217,0.01478716474100481
19,T,1023,214272,0.4774305555555556
2,1,742,216019,0.3434883042695318
2,10,260,67577,0.38474628941799727
2,2,313,287144,0.10900454127545761
2,3,1460,181084,0.8062556603565196
2,4,354,260474,0.13590607891766548
2,5,450,246120,0.18283764017552412
2,6,14093,87629,16.08257540311997
2,7,4733,112104,4.221972454149718
2,8,4179,41082,10.172338250328611
2,9,213,38928,0.5471639950678175
2,T,465,233589,0.1990675930801536
20,1,118,87650,0.13462635482030805
20,10,34,319179,0.010652329883858273
20,11,319,169736,0.18793891690625442
20,12,584,283300,0.20614189904694671
20,2,520,232776,0.2233907275664158
20,3,109,89676,0.12154868638208662
20,4,84,43365,0.1937046004842615
20,5,317,59255,0.5349759513965067
20,6,374,192509,0.19427663122243635
20,7,98,40956,0.23928117980271513
20,8,2,195226,0.001024453710059111
20,9,441,218507,0.20182419785178507
20,T,33,242811,0.013590817549452043
4,1,732,379587,0.19284116684712596
4,2,382,296873,0.12867455107065984
4,3,4420,37736,11.712953148187408
4,4,65,200128,0.032479213303485764
4,5,207,390789,0.052969761175468096
4,6,1069,362915,0.2945593320750038
4,7,71,274613,0.02585456624413265
4,8,388,200494,0.19352200065837383
4,T,876,377960,0.23177055773097682
5,1,147,409381,0.03590787066326967
5,10,348,198098,0.17567062766913347
5,11,76,127619,0.05955226102696307
5,2,204,160727,0.12692329229065435
5,3,37,379189,0.009757667020931515
5,4,425,348008,0.12212362934185422
5,5,7735,183487,4.215557505436352
5,6,871,125441,0.6943503320286031
5,7,11312,131509,8.60169265981796
5,8,518,249873,0.20730531109803782
5,9,871,125435,0.6943835452624866
5,T,92,454128,0.020258605503294225
6,1,50,86671,0.05768942322114663
6,10,111,394225,0.028156509607457667
6,2,432,225747,0.19136466929793086
6,3,75,243651,0.03078173288843469
6,4,218,180584,0.12071944358304168
6,5,80,53122,0.15059673958058808
6,6,126,134419,0.0937367485251341
6,7,291,241551,0.12047145323347865
6,8,449,413353,0.10862386386454193
6,9,245,411876,0.05948392234556031
6,T,111,478256,0.023209327222240807
7,1,482,215363,0.22380817503470884
7,10,133,238871,0.05567858802449858
7,11,45,228220,0.019717816142318816
7,12,117,374715,0.03122373003482647
7,13,67,387051,0.01731038028580213
7,14,164,290660,0.056423312461294985
7,15,421,278680,0.15106932682646762
7,2,209,308730,0.06769669290318402
7,3,472,88327,0.5343779365312985
7,4,902,250976,0.3593969144460028
7,5,1885,370664,0.508546824077871
7,6,109,86459,0.1260713170404469
7,7,65,77136,0.08426674963700477
7,8,3,420420,7.135721421435707e-4
7,9,175,296835,0.05895531187359981
7,T,13,189784,0.006849892509379083
8,1,51,663176,0.007690266234001231
8,10,151,157554,0.09584015639082473
8,11,46,228765,0.020107971062006864
8,2,227,133792,0.16966634776369288
8,3,195,346836,0.05622253745285956
8,4,117,382117,0.030618894213028994
8,5,68,272539,0.024950557534884916
8,6,20,143662,0.013921565897732179
8,7,24,77905,0.030806751813105708
8,8,108,216492,0.04988636993514772
8,9,8,219051,0.003652117543403134
8,T,12,294499,0.004074716722297868
9,1,942,252431,0.37317128244946146
9,10,15,396337,0.003784658005687079
9,11,19,116744,0.01627492633454396
9,12,914,236489,0.3864873207633336
9,13,1,43644,0.002291265695170012
9,14,42,193805,0.021671267511158124
9,15,307,404436,0.0759081783026239
9,2,2895,186307,1.5538868641543258
9,3,589,185298,0.31786635581603684
9,4,0,86551,0
9,5,22,55107,0.03992233291596349
9,6,108,82944,0.13020833333333331
9,7,392,70628,0.5550206716882823
9,8,2663,169603,1.570137320684186
9,9,22,389322,0.005650849425411357
9,T,6,294296,0.0020387636936961425
